time,AHPTp,Bp,A,WUS,CLV,CLV1,CLV3
225.156517,2.192236,8.825445,0.313422,26.620212,0.000000,41.278113,-1.015218
227.824783,2.192236,8.834037,0.309140,26.685085,0.000000,41.279670,-0.994562
230.493049,2.192236,8.842125,0.305076,26.746286,0.000000,41.268873,-0.987222
233.962985,2.192236,8.851941,0.300096,26.820720,0.000000,41.243382,-0.990487
238.036469,2.192236,8.862534,0.294667,26.901193,0.000000,41.192406,-1.017218
240.702502,2.192236,8.868964,0.291343,26.950110,0.000000,41.198701,-0.996068
243.368535,2.192236,8.875026,0.288188,26.996256,0.000000,41.192057,-0.988615
246.848462,2.192236,8.882421,0.284314,27.052579,0.000000,41.171556,-0.991793
250.941732,2.192236,8.890425,0.280086,27.113566,0.000000,41.125579,-1.018858
253.604870,2.192236,8.895261,0.277515,27.150409,0.000000,41.135674,-0.997256
256.268008,2.192236,8.899824,0.275078,27.185166,0.000000,41.132308,-0.989707
259.756210,2.192236,8.905414,0.272075,27.227731,0.000000,41.115754,-0.992812
263.866805,2.192236,8.911482,0.268797,27.273891,0.000000,41.073676,-1.020195
266.526744,2.192236,8.915131,0.266815,27.301622,0.000000,41.086801,-0.998185
269.186682,2.192236,8.918577,0.264937,27.327785,0.000000,41.086005,-0.990556
272.681704,2.192236,8.922814,0.262618,27.359925,0.000000,41.072550,-0.993602
276.807306,2.192236,8.927424,0.260084,27.394831,0.000000,41.033492,-1.021278
279.463994,2.192236,8.930184,0.258561,27.415697,0.000000,41.049019,-0.998908
282.120682,2.192236,8.932791,0.257118,27.435384,0.000000,41.050226,-0.991213
285.621297,2.192236,8.936008,0.255332,27.459638,0.000000,41.039195,-0.994211
289.759769,2.192236,8.939515,0.253379,27.486016,0.000000,41.002461,-1.022153
292.413329,2.192236,8.941606,0.252211,27.501716,0.000000,41.019885,-0.999468
295.066889,2.192236,8.943582,0.251104,27.516530,0.000000,41.022649,-0.991719
298.572070,2.192236,8.946028,0.249732,27.534827,0.000000,41.013503,-0.994679
302.721474,2.192236,8.948697,0.248230,27.554751,0.000000,40.978549,-1.022857
305.372134,2.192236,8.950284,0.247336,27.566565,0.000000,40.997468,-0.999901
308.022793,2.192236,8.951783,0.246489,27.577714,0.000000,41.001436,-0.992108
311.531686,2.192236,8.953643,0.245436,27.591515,0.000000,40.993752,-0.995037
315.690300,2.192236,8.955676,0.244284,27.606559,0.000000,40.960156,-1.023421
318.338344,2.192236,8.956880,0.243600,27.615451,0.000000,40.980249,-1.000234
320.986388,2.192236,8.958019,0.242953,27.623843,0.000000,40.985147,-0.992405
324.498287,2.192236,8.959434,0.242147,27.634252,0.000000,40.978593,-0.995310
328.664600,2.192236,8.960982,0.241264,27.645609,0.000000,40.946030,-1.023872
331.310334,2.192236,8.961897,0.240742,27.652304,0.000000,40.967042,-1.000490
333.956068,2.192236,8.962762,0.240247,27.658624,0.000000,40.972657,-0.992632
337.470393,2.192236,8.963839,0.239632,27.666474,0.000000,40.966974,-0.995518
341.643098,2.192236,8.965018,0.238956,27.675048,0.000000,40.935193,-1.024231
344.286826,2.192236,8.965713,0.238558,27.680090,0.000000,40.956926,-1.000687
346.930554,2.192236,8.966370,0.238181,27.684851,0.000000,40.963093,-0.992805
350.446831,2.192236,8.967189,0.237711,27.690772,0.000000,40.958080,-0.995676
354.624813,2.192236,8.968087,0.237195,27.697244,0.000000,40.926890,-1.024516
357.266823,2.192236,8.968615,0.236891,27.701043,0.000000,40.949186,-1.000837
359.908832,2.192236,8.969115,0.236604,27.704631,0.000000,40.955776,-0.992936
363.426675,2.192236,8.969738,0.236245,27.709098,0.000000,40.951279,-0.995795
367.608989,2.192236,8.970421,0.235852,27.713984,0.000000,40.920535,-1.024743
370.249541,2.192236,8.970822,0.235620,27.716847,0.000000,40.943269,-1.000951
372.890094,2.192236,8.971202,0.235401,27.719551,0.000000,40.950184,-0.993036
376.409191,2.192236,8.971676,0.235128,27.722922,0.000000,40.946083,-0.995886
380.595046,2.192236,8.972195,0.234828,27.726611,0.000000,40.915673,-1.024922
383.234375,2.192236,8.972500,0.234652,27.728770,0.000000,40.938750,-1.001039
385.873704,2.192236,8.972789,0.234485,27.730809,0.000000,40.945914,-0.993111
389.393802,2.192236,8.973149,0.234277,27.733353,0.000000,40.942116,-0.995954
393.582539,2.192236,8.973544,0.234049,27.736138,0.000000,40.911958,-1.025064
396.220848,2.192236,8.973776,0.233915,27.737767,0.000000,40.935301,-1.001106
398.859156,2.192236,8.973995,0.233788,27.739305,0.000000,40.942656,-0.993169
402.380054,2.192236,8.974269,0.233630,27.741226,0.000000,40.939090,-0.996006
406.571130,2.192236,8.974569,0.233456,27.743329,0.000000,40.909119,-1.025176
409.208593,2.192236,8.974745,0.233354,27.744557,0.000000,40.932670,-1.001156
411.846056,2.192236,8.974912,0.233258,27.745718,0.000000,40.940171,-0.993212
415.367590,2.192236,8.975120,0.233137,27.747168,0.000000,40.936783,-0.996045
419.560557,2.192236,8.975348,0.233005,27.748757,0.000000,40.906953,-1.025264
422.197323,2.192236,8.975482,0.232928,27.749684,0.000000,40.930665,-1.001195
424.834089,2.192236,8.975608,0.232855,27.750560,0.000000,40.938277,-0.993244
428.356129,2.192236,8.975766,0.232763,27.751655,0.000000,40.935025,-0.996074
432.550623,2.192236,8.975940,0.232662,27.752855,0.000000,40.905300,-1.025334
435.186817,2.192236,8.976041,0.232604,27.753555,0.000000,40.929137,-1.001224
437.823011,2.192236,8.976137,0.232548,27.754217,0.000000,40.936835,-0.993269
441.345452,2.192236,8.976257,0.232479,27.755044,0.000000,40.933686,-0.996096
445.541175,2.192236,8.976389,0.232402,27.755950,0.000000,40.904039,-1.025389
448.176902,2.192236,8.976466,0.232357,27.756479,0.000000,40.927974,-1.001247
450.812628,2.192236,8.976539,0.232315,27.756979,0.000000,40.935737,-0.993288
454.335388,2.192236,8.976630,0.232262,27.757603,0.000000,40.932666,-0.996112
458.532099,2.192236,8.976730,0.232204,27.758288,0.000000,40.903078,-1.025432
461.167444,2.192236,8.976788,0.232171,27.758688,0.000000,40.927088,-1.001264
463.802789,2.192236,8.976844,0.232139,27.759065,0.000000,40.934901,-0.993301
467.325802,2.192236,8.976913,0.232098,27.759537,0.000000,40.931891,-0.996125
471.523305,2.192236,8.976989,0.232054,27.760055,0.000000,40.902345,-1.025465
474.158341,2.192236,8.977033,0.232029,27.760357,0.000000,40.926414,-1.001276
476.793376,2.192236,8.977075,0.232004,27.760642,0.000000,40.934265,-0.993312
480.316589,2.192236,8.977127,0.231974,27.760998,0.000000,40.931301,-0.996134
484.514727,2.192236,8.977185,0.231940,27.761390,0.000000,40.901787,-1.025492
487.149511,2.192236,8.977219,0.231921,27.761618,0.000000,40.925902,-1.001286
489.784296,2.192236,8.977251,0.231902,27.761833,0.000000,40.933782,-0.993320
493.307667,2.192236,8.977290,0.231879,27.762103,0.000000,40.930852,-0.996141
497.506313,2.192236,8.977334,0.231854,27.762399,0.000000,40.901362,-1.025513
500.000000,2.192236,8.977358,0.231840,27.762562,0.000000,40.927988,-0.998821
